852 2797
224 543 722
105 102 983
71 656 790
39 674 902
453 276 422
175 127 761
340 794 78
622 661 590
631 763 1000
796 776 161
280 164 954
548 476 594
775 562 482
849 489 786
397 53 566
715 619 828
386 168 375
269 690 265
731 553 377
267 259 754
254 804 805
481 99 821
759 434 923
404 774 285
372 221 594
268 120 866
41 273 124
550 747 987
139 751 52
425 206 194
783 582 918
270 84 249
281 363 152
144 828 198
220 103 470
336 408 930
241 290 364
221 679 749
486 377 82
248 459 560
600 699 645
144 309 712
216 619 760
206 3 384
367 390 917
673 714 654
173 126 124
502 529 912
624 102 763
520 99 70
124 400 546
96 604 611
320 696 140
580 599 605
174 138 586
99 677 8
134 456 273
527 390 669
83 835 527
845 122 513
272 131 955
561 70 548
273 720 844
131 780 645
67 259 481
1 393 816
490 475 503
88 711 432
204 797 379
838 395 194
361 588 809
682 7 730
797 131 810
357 329 741
257 752 981
470 725 739
118 326 736
824 477 958
465 350 756
575 741 632
80 214 243
431 522 59
411 737 310
789 143 879
366 749 721
467 133 881
587 729 701
677 130 369
235 643 255
348 148 213
346 589 787
206 432 665
416 89 101
156 775 5
28 204 433
567 516 301
848 164 647
148 714 203
212 88 765
242 151 821
263 403 202
539 513 370
168 651 281
509 429 182
620 408 621
667 200 5
478 222 513
621 223 126
101 638 208
508 297 715
813 690 444
107 627 537
375 705 789
38 535 648
535 250 993
327 335 276
668 107 966
39 10 34
511 339 78
314 832 647
93 256 638
195 531 83
796 510 5
573 367 339
773 78 899
557 744 379
578 177 506
536 679 90
714 259 379
478 374 766
701 379 408
609 432 157
306 654 762
101 653 851
478 339 585
274 221 258
113 828 163
595 805 866
708 590 513
215 234 608
820 504 336
214 352 656
491 104 558
176 2 780
492 753 943
389 109 70
178 229 424
173 538 403
606 382 709
739 628 248
830 48 466
829 637 553
625 116 243
129 39 544
421 247 125
320 322 946
40 474 96
526 165 17
637 515 686
474 316 714
138 92 835
742 611 473
620 275 979
34 456 508
503 16 748
734 66 675
612 261 842
819 716 73
372 162 18
355 473 372
125 226 231
749 526 649
34 549 858
498 824 9
594 671 26
562 118 145
289 741 568
423 336 638
319 800 936
582 474 844
27 243 216
727 507 822
574 238 797
600 227 745
110 158 217
572 498 602
3 407 571
430 336 939
617 428 278
439 512 8
318 105 742
409 133 828
630 249 344
823 301 999
113 746 392
836 385 937
310 603 740
150 47 20
741 731 76
73 643 172
325 427 65
273 226 496
768 663 545
158 727 863
499 516 278
420 702 480
779 174 406
760 251 774
809 684 255
38 535 241
578 579 427
35 365 932
357 146 434
101 233 454
232 157 259
276 187 483
520 704 73
39 788 847
184 248 200
217 480 783
289 67 745
86 578 651
604 19 415
615 623 151
424 807 372
505 604 519
281 335 757
213 661 93
813 154 263
409 715 29
108 768 661
467 575 207
389 456 539
651 770 16
419 633 575
98 735 589
851 724 128
150 198 928
398 307 722
260 633 757
601 638 620
322 332 496
219 549 899
768 309 324
766 200 875
34 596 508
43 618 888
587 357 532
312 538 900
450 794 743
485 359 776
808 143 729
549 200 434
735 669 662
275 669 516
738 225 195
187 817 371
245 557 315
522 388 888
643 81 255
74 376 232
462 751 159
414 811 907
595 591 505
731 453 780
728 553 836
581 725 962
765 769 156
220 24 936
816 378 957
193 115 132
393 527 291
99 775 104
412 342 770
528 75 696
404 328 490
203 464 28
228 53 107
82 488 945
668 651 819
343 810 113
109 556 990
96 183 770
340 622 465
526 109 855
449 727 165
598 387 484
351 756 703
823 182 65
673 527 881
694 835 936
222 197 873
339 380 274
485 545 176
648 495 674
330 616 178
5 701 473
474 143 894
417 597 719
543 842 151
212 835 614
637 305 394
434 631 230
193 804 879
12 186 714
189 425 824
697 634 332
729 314 947
511 11 932
640 635 578
206 465 309
835 50 60
463 653 996
288 226 573
556 58 59
575 47 578
646 292 820
168 149 211
379 93 406
197 157 712
39 695 613
27 137 354
718 224 340
299 566 228
774 133 636
101 276 296
15 712 242
586 388 164
353 78 8
496 623 681
228 320 887
444 773 262
597 766 388
309 747 449
228 478 687
521 338 500
63 23 770
600 538 392
195 510 632
573 707 15
509 596 308
290 788 810
632 506 722
307 453 193
16 355 931
464 658 334
800 562 76
271 78 681
145 118 438
380 156 412
793 703 566
155 479 589
499 340 457
252 401 987
236 572 782
427 606 558
315 734 297
575 200 426
465 589 421
493 396 993
392 849 970
440 795 923
809 753 537
235 357 121
434 564 761
168 43 637
71 50 592
127 502 620
397 487 786
514 788 193
337 149 322
694 697 815
626 848 407
383 295 303
490 308 258
834 852 520
572 641 196
719 510 933
820 264 784
215 26 500
528 847 65
511 159 606
568 152 189
376 805 421
547 465 76
245 386 825
12 268 420
331 599 751
41 253 340
662 624 745
538 717 756
766 675 252
723 407 277
132 154 8
16 661 838
851 437 643
97 23 525
630 437 790
771 153 176
52 349 157
740 460 324
370 267 22
336 200 895
38 201 501
364 647 603
725 328 42
496 684 976
135 310 920
49 852 572
570 654 821
207 253 568
404 281 765
265 437 945
206 10 893
9 753 268
494 839 679
27 152 719
191 443 681
537 679 241
156 207 576
514 59 843
758 115 765
623 218 438
697 495 612
396 466 505
576 112 444
827 548 942
815 803 764
789 367 887
265 392 452
482 755 447
437 692 744
530 163 692
22 588 883
15 462 351
262 545 872
604 265 865
737 803 763
133 762 230
448 803 658
550 12 499
839 668 871
842 246 330
482 790 283
237 754 86
289 814 565
235 579 721
595 266 181
259 656 260
68 48 544
685 177 612
355 551 482
594 182 265
303 89 616
264 127 86
421 134 411
697 488 934
610 730 923
358 93 302
599 170 838
812 835 194
666 792 956
313 593 105
229 402 964
621 842 320
48 165 549
144 210 281
545 607 884
813 72 282
74 652 648
487 755 269
484 151 904
136 210 153
298 719 357
520 476 937
813 258 354
711 700 690
470 334 707
654 137 709
223 138 658
495 826 889
846 383 701
277 612 22
3 170 568
202 621 35
40 506 574
575 603 313
370 311 562
120 568 104
486 15 802
352 216 645
405 277 30
373 82 146
782 506 700
310 160 270
529 176 582
592 834 552
500 768 939
442 449 336
755 454 975
213 290 4
127 390 504
4 93 807
518 170 553
526 644 369
331 229 183
300 619 94
44 520 336
640 547 344
539 837 198
812 323 116
651 541 509
57 103 854
730 832 500
316 333 397
666 746 516
692 221 829
560 620 889
94 636 204
201 327 959
542 275 148
417 583 777
640 251 26
631 543 764
807 595 457
33 670 455
346 343 771
542 427 709
1 149 854
311 847 834
815 245 894
529 243 241
474 435 652
78 722 615
308 393 293
283 430 768
194 463 605
408 204 703
595 776 675
834 500 347
211 748 712
546 427 639
59 74 93
730 282 450
157 484 293
391 75 755
504 461 792
601 52 623
26 105 859
732 723 637
138 608 559
573 206 351
36 169 824
687 704 934
259 752 928
454 354 114
583 656 197
572 789 983
542 27 540
611 569 932
305 277 188
724 801 859
216 468 165
285 345 664
304 552 205
824 180 915
600 178 902
206 744 309
121 213 550
479 850 44
739 491 959
751 282 917
310 479 353
361 624 833
348 114 98
384 64 849
643 771 353
103 485 436
433 298 161
580 680 755
761 460 541
59 406 359
188 451 969
665 654 800
596 610 621
852 693 38
35 675 134
137 120 704
268 400 74
796 227 941
224 432 937
251 265 645
268 281 12
343 43 819
361 4 612
584 69 925
466 155 376
150 429 671
245 44 882
777 680 201
579 851 817
329 327 941
774 220 272
457 621 231
549 164 100
502 291 948
451 768 551
25 326 42
847 194 675
177 52 45
303 821 521
290 316 492
20 268 901
10 839 165
338 573 819
803 724 725
75 615 149
305 849 578
357 730 634
481 792 831
628 712 528
498 413 2
755 385 358
719 28 178
542 284 513
275 585 854
806 575 424
379 808 374
80 242 932
623 104 635
66 683 961
443 515 218
550 12 493
259 466 79
182 774 895
8 728 729
766 544 384
382 747 297
607 772 93
520 432 585
149 830 641
126 845 539
505 227 94
249 803 526
370 766 215
40 64 770
586 618 415
416 761 337
650 152 250
753 415 991
825 559 234
377 164 82
488 808 878
457 79 252
162 357 863
26 35 379
810 415 780
237 71 352
137 604 605
432 793 632
464 262 635
765 316 415
333 4 618
525 544 57
236 388 201
180 753 343
382 614 827
781 756 572
56 407 557
688 140 26
49 792 917
488 816 785
833 197 766
151 364 522
309 598 525
33 335 58
19 421 851
550 367 266
316 331 106
636 674 197
650 727 203
464 486 857
468 353 511
210 373 887
269 406 321
828 42 107
848 555 462
536 119 642
16 188 737
148 250 122
469 477 885
719 575 378
216 97 689
290 479 952
31 851 513
293 410 542
293 259 79
133 14 203
407 9 194
363 418 85
148 473 538
664 283 398
796 19 469
342 107 551
95 590 662
205 87 342
175 401 460
39 837 239
283 840 269
785 781 391
191 75 372
123 349 541
287 832 488
640 354 634
640 386 666
254 238 189
32 56 594
680 138 141
618 456 740
115 271 24
273 678 336
173 109 195
190 630 162
147 196 468
772 14 615
35 795 156
529 252 471
679 154 462
52 767 702
696 604 708
646 415 567
347 222 316
248 767 913
658 73 628
472 183 968
471 563 200
263 20 235
510 48 617
53 43 436
751 579 680
350 557 428
379 745 150
577 456 258
714 669 619
378 649 257
166 412 984
90 154 559
647 561 128
576 373 510
472 841 241
812 30 529
759 151 493
403 30 434
166 586 807
7 602 131
685 60 995
331 273 46
608 70 109
691 4 833
410 741 798
693 87 823
758 811 751
104 272 61
320 823 121
169 779 841
580 358 946
526 550 920
680 316 4
755 618 294
604 277 843
121 424 832
329 111 899
324 635 769
526 429 563
224 825 196
407 712 367
384 29 726
362 352 428
75 694 827
537 544 956
426 609 675
151 323 64
359 87 123
450 133 595
846 664 152
469 742 664
146 489 715
672 165 888
828 272 342
212 577 957
162 479 608
251 485 917
611 198 690
66 476 811
342 793 653
130 476 348
36 389 304
332 410 107
175 233 120
240 576 733
814 642 720
823 455 719
49 267 118
586 599 912
7 364 814
706 783 963
571 451 371
510 150 597
601 234 421
554 778 319
84 790 99
273 94 237
282 270 353
783 703 877
228 742 225
467 597 2
557 520 542
264 277 786
192 19 510
261 67 552
656 530 635
759 215 249
824 584 916
686 519 988
303 839 742
546 849 107
503 729 265
843 505 110
51 202 668
127 202 918
602 741 583
428 660 78
728 158 426
815 170 448
671 541 638
802 229 806
219 687 681
229 202 928
174 299 347
326 180 565
213 245 48
581 609 663
574 517 1000
744 265 460
5 487 153
164 507 387
548 447 910
419 18 208
679 528 930
536 183 458
567 97 248
852 711 835
523 575 234
616 45 513
422 559 383
16 699 562
466 38 397
96 119 79
645 351 303
736 192 547
744 517 404
737 251 856
672 62 447
695 668 17
634 572 903
720 585 275
329 345 150
549 170 914
147 374 15
277 704 716
113 520 659
463 550 378
660 317 627
840 375 543
580 732 311
519 699 688
470 540 761
305 7 804
491 314 902
403 571 226
801 655 785
730 816 634
615 505 847
742 451 868
136 658 604
570 664 612
177 119 830
514 442 735
154 414 628
734 365 33
444 700 226
29 718 745
229 39 172
742 817 591
456 129 713
95 436 577
780 839 98
628 720 960
190 798 397
524 329 287
673 649 107
713 814 588
752 772 869
313 462 783
656 553 170
842 422 820
159 415 699
234 17 527
827 315 927
346 117 279
151 221 275
779 133 8
58 605 955
808 316 883
261 656 352
598 606 234
517 169 506
343 107 742
482 509 547
513 627 895
36 53 77
522 666 335
315 582 597
684 271 352
781 378 600
575 213 807
389 89 766
370 133 746
437 544 24
120 126 679
153 259 882
315 849 716
640 551 192
129 432 726
220 5 155
86 785 450
670 411 555
126 396 905
297 247 499
548 272 740
316 567 846
499 379 853
273 578 987
423 565 620
218 367 229
848 319 930
292 406 296
812 730 666
595 511 184
27 378 984
675 76 36
76 448 74
754 87 906
704 812 612
481 146 845
555 76 325
32 743 824
126 169 578
216 721 331
676 109 714
57 517 498
220 566 700
471 574 641
162 330 393
9 102 981
235 274 329
513 33 477
243 795 260
573 337 186
54 771 278
299 589 880
90 753 967
697 489 1
145 102 120
303 635 582
49 730 265
587 207 69
193 817 621
583 670 480
463 520 156
712 106 190
11 212 104
422 530 157
455 95 23
629 566 113
829 571 459
184 611 991
166 646 866
414 346 304
796 27 218
332 27 348
185 149 100
15 350 370
840 13 149
48 531 330
832 647 448
115 120 343
485 727 140
400 19 363
35 97 246
318 216 857
344 352 312
756 473 873
588 46 669
252 94 971
493 427 794
78 666 676
830 469 492
75 135 412
360 677 411
744 302 128
161 513 669
329 247 616
228 59 524
189 516 659
494 541 777
171 783 534
366 794 283
395 15 86
736 461 990
550 389 790
242 197 677
796 564 403
135 298 342
822 583 767
754 739 118
536 767 689
493 723 457
815 376 278
512 653 104
123 775 791
123 494 23
648 447 902
634 146 363
846 764 916
582 843 807
465 230 324
127 187 889
744 171 451
67 501 761
683 135 332
721 786 606
625 415 184
20 260 909
320 115 440
359 493 719
758 291 2
451 544 774
112 353 158
66 726 579
157 463 372
526 356 742
770 445 364
661 699 397
800 501 177
138 4 600
116 132 698
36 243 533
202 434 162
295 286 909
403 790 491
39 215 898
558 848 296
128 142 725
579 458 765
106 823 90
79 42 490
194 609 579
266 226 783
30 723 672
783 560 268
433 391 514
677 137 488
70 155 227
646 342 816
764 295 408
526 306 481
722 150 770
513 53 142
427 57 391
763 415 499
536 458 933
168 333 735
563 220 281
313 562 53
453 213 723
309 667 465
525 43 334
594 430 891
484 565 995
627 650 245
414 137 236
619 482 698
747 306 861
74 187 610
46 150 857
716 231 408
399 348 815
7 479 34
190 365 246
204 778 423
23 275 169
116 530 109
53 439 123
681 471 250
19 26 772
507 435 872
637 269 62
424 64 898
489 562 937
274 90 35
101 560 744
352 9 317
362 834 20
807 35 711
641 36 455
471 177 130
766 389 750
199 779 456
60 736 649
437 702 902
424 684 676
414 641 503
405 383 593
471 530 455
82 722 652
572 727 740
242 392 726
36 765 663
594 686 871
44 441 179
749 309 710
688 322 735
164 728 703
369 683 959
592 664 984
318 298 770
100 523 940
413 592 809
703 658 556
18 678 394
759 847 977
753 30 835
370 763 218
621 471 847
566 523 406
722 310 330
733 695 339
55 234 838
52 25 160
776 491 505
240 20 83
70 533 449
292 210 817
345 55 446
698 849 806
781 40 401
351 401 207
198 711 255
218 485 761
623 58 351
475 452 972
39 362 952
130 382 426
158 676 137
243 686 495
612 729 970
430 727 489
655 10 204
430 475 244
50 345 156
651 803 764
45 231 654
729 660 78
725 603 395
728 163 406
454 494 294
822 64 214
344 12 409
632 356 931
423 657 444
690 643 857
664 149 264
65 584 131
847 65 780
535 817 733
457 849 899
251 303 92
338 747 659
65 290 54
69 848 659
185 697 47
489 410 1000
461 120 273
280 678 640
258 105 341
121 207 447
197 346 622
20 786 439
69 235 577
100 232 653
136 739 27
508 622 929
648 796 878
39 411 332
199 799 416
257 431 755
847 508 621
225 815 495
294 340 695
278 85 277
495 96 97
457 478 30
151 317 79
547 404 87
134 77 208
309 3 499
479 11 214
378 203 914
689 5 98
666 359 470
752 260 585
414 558 236
394 458 903
12 771 209
560 239 843
208 178 258
561 637 359
226 716 986
416 383 678
89 605 218
400 548 78
399 837 534
436 89 500
822 480 306
697 682 698
498 566 624
807 561 856
757 273 58
387 728 252
628 180 356
831 496 84
404 841 683
248 359 760
599 230 987
259 493 767
845 396 498
492 357 925
117 135 277
149 114 364
664 700 539
619 308 662
487 367 966
82 219 456
731 291 790
831 12 380
499 126 734
453 329 106
123 437 593
261 735 225
3 640 699
150 609 851
187 448 504
502 407 27
393 832 903
549 325 512
568 595 324
372 745 830
225 569 493
303 712 67
499 592 653
730 608 216
723 401 767
117 832 133
782 115 266
432 694 507
94 704 266
602 394 898
846 90 907
230 434 653
60 559 218
641 747 399
149 228 984
342 65 661
689 219 82
837 163 8
363 229 210
607 345 462
679 467 17
843 427 777
370 118 115
82 832 255
565 800 819
778 763 576
235 101 13
438 725 403
782 207 951
6 542 273
690 453 218
66 227 994
676 315 829
439 532 434
784 672 885
119 269 655
234 734 89
223 12 820
358 21 141
844 474 30
175 575 107
744 748 722
621 119 624
816 146 551
47 738 362
437 265 625
407 720 623
792 225 299
297 175 769
36 126 793
573 529 186
204 726 279
483 841 130
727 573 990
744 84 969
722 591 454
326 279 968
736 682 275
223 599 670
149 373 514
586 458 433
377 539 355
518 827 633
124 282 925
235 847 579
706 339 526
580 653 573
460 313 141
755 53 747
807 670 63
15 659 427
620 616 454
493 332 291
577 619 690
695 442 272
289 747 550
742 491 223
22 305 156
606 454 839
334 459 593
345 715 125
361 825 728
361 252 934
528 654 458
70 485 26
351 713 937
829 197 768
640 599 30
553 211 881
234 189 207
245 498 949
71 430 266
603 465 234
264 168 327
802 58 340
368 629 783
112 663 980
678 235 30
660 434 733
6 603 470
795 339 130
405 477 496
190 1 978
302 22 157
827 774 107
426 28 341
230 4 837
310 254 569
456 214 578
623 108 381
781 538 245
88 597 633
576 6 969
759 282 717
386 786 39
32 755 905
394 442 801
295 692 167
649 335 918
460 789 1000
278 511 351
482 86 422
170 725 669
325 102 756
365 400 43
574 561 135
208 176 763
377 224 689
340 137 419
751 765 551
10 779 862
723 118 1000
662 286 987
13 462 271
786 35 522
366 255 817
752 231 251
602 793 916
244 258 925
698 845 138
561 41 940
92 677 767
289 809 959
626 591 729
660 51 83
828 337 768
244 52 444
206 665 251
444 720 579
427 313 898
844 372 723
19 657 674
78 557 446
381 760 867
494 678 683
553 676 173
727 675 155
680 79 563
494 123 316
421 7 148
284 629 143
416 383 458
718 457 523
30 315 263
667 36 369
411 292 743
677 194 516
20 626 811
803 20 945
633 673 34
109 264 256
740 430 445
501 138 713
572 664 32
800 84 186
419 716 356
62 749 99
508 637 164
485 456 103
525 92 165
717 11 237
390 826 403
123 35 573
812 35 136
183 377 402
688 420 899
79 404 845
117 119 333
596 635 249
290 105 920
503 23 378
341 739 715
805 268 869
146 294 232
259 312 742
771 1 106
381 525 434
742 399 734
252 486 669
511 565 280
498 200 672
406 844 441
706 646 330
221 818 216
142 687 997
776 166 603
553 428 432
353 573 475
479 404 368
223 310 489
649 608 226
836 507 123
532 324 471
636 2 97
183 120 839
298 823 246
518 41 591
316 396 562
472 130 671
339 201 498
581 799 203
549 767 246
496 353 188
603 94 324
83 281 606
104 492 923
406 553 250
199 836 823
312 539 871
239 738 475
804 796 82
366 504 687
85 241 120
134 481 705
701 368 631
779 824 800
86 418 589
469 335 862
706 788 606
512 646 792
384 259 962
72 637 727
421 604 355
82 440 260
502 39 842
707 678 683
410 617 37
456 275 722
465 750 787
845 389 524
321 517 737
320 651 748
731 684 705
527 627 823
359 482 448
357 755 756
489 515 801
544 82 924
792 691 467
3 316 35
717 612 103
124 392 759
157 823 7
485 182 647
304 725 793
685 11 156
331 269 432
209 51 285
658 120 442
575 254 380
170 86 900
573 795 321
92 299 166
136 495 450
460 307 797
107 697 949
695 342 509
202 420 434
333 646 366
707 524 788
736 61 622
735 457 73
731 532 75
428 96 954
569 445 662
100 828 837
66 201 428
247 154 887
255 690 604
740 678 928
97 226 311
137 710 111
57 750 606
61 587 429
208 45 401
392 154 922
158 325 595
555 383 373
188 55 957
199 154 74
833 783 472
418 671 871
740 608 566
164 583 334
726 92 575
325 486 718
544 699 679
479 520 639
335 130 28
775 82 518
322 93 521
196 75 428
612 541 872
118 113 724
561 543 614
387 775 617
645 667 888
628 687 666
159 167 669
522 723 39
7 535 818
154 279 710
828 593 113
784 363 695
2 569 668
163 413 19
610 113 263
87 759 478
161 229 600
133 14 174
723 381 214
471 232 351
73 77 746
840 430 366
173 463 128
374 277 158
432 695 346
163 417 982
292 359 565
819 631 740
388 695 189
687 652 774
346 55 879
154 267 449
448 67 14
339 138 209
594 242 632
238 716 871
558 393 818
617 328 405
435 777 352
536 276 326
761 22 280
724 382 90
284 125 426
550 15 75
775 727 351
672 513 396
9 182 214
439 15 104
115 309 932
647 24 966
49 474 400
133 269 670
743 724 793
419 769 10
729 399 152
203 130 528
419 665 486
319 589 344
747 709 913
130 45 901
240 89 771
253 841 542
790 282 674
681 727 881
725 651 252
684 717 723
433 739 849
439 515 249
113 594 291
649 566 189
149 523 597
618 744 117
768 746 325
200 795 3
675 771 863
824 143 196
35 596 901
617 710 809
316 128 959
46 500 414
452 290 716
204 154 351
795 29 378
435 192 312
335 667 672
99 834 898
205 551 32
373 30 582
220 272 751
832 621 315
76 84 458
426 383 147
51 622 391
417 245 733
455 364 423
336 494 695
648 235 873
725 645 327
725 364 531
840 329 296
743 683 11
528 585 138
22 757 512
819 722 54
514 314 264
721 716 644
677 656 47
474 534 751
696 267 975
337 605 376
63 688 500
546 688 433
291 792 274
643 426 203
454 814 261
192 629 7
355 96 290
693 596 526
329 695 898
698 99 526
77 528 965
834 205 722
207 537 252
670 64 15
197 704 565
402 662 957
485 755 178
5 36 653
797 571 894
531 763 418
127 332 298
757 326 393
835 353 248
470 757 432
86 672 389
314 775 627
27 94 220
30 187 656
306 199 997
124 652 61
831 643 729
633 329 287
337 26 580
2 651 832
158 574 604
672 453 464
96 747 680
381 415 238
334 193 182
284 534 361
387 803 534
551 175 206
423 538 61
316 581 423
138 653 479
730 39 307
248 49 400
474 385 388
459 89 710
763 566 704
837 611 134
797 225 956
501 363 468
252 547 259
226 28 653
137 713 746
775 746 604
673 699 654
254 567 770
182 518 470
850 345 365
326 723 938
334 384 479
429 766 740
124 504 489
628 445 839
200 786 147
351 330 990
590 748 35
605 72 867
844 15 788
811 215 925
818 205 613
290 622 321
826 223 500
736 793 687
511 359 679
117 557 992
572 377 451
435 405 573
133 329 144
140 317 391
174 48 143
262 629 653
561 238 709
167 309 175
824 458 182
742 441 820
823 44 312
822 507 596
462 367 777
71 768 512
215 423 936
368 68 637
795 717 510
28 500 27
157 832 88
491 321 197
225 735 111
852 53 954
178 781 403
647 501 446
733 163 310
723 364 405
485 164 236
661 181 619
551 339 284
377 196 395
588 475 820
256 390 164
310 520 214
659 594 407
82 642 296
705 7 97
781 448 447
3 568 912
326 153 676
535 240 381
631 416 412
484 44 675
840 557 244
327 778 704
605 153 910
272 426 223
153 775 976
104 15 948
79 30 955
155 60 713
833 573 638
288 644 41
748 543 901
322 609 202
292 720 409
38 248 176
303 752 92
56 298 854
351 242 267
155 371 253
204 467 571
573 132 739
460 766 900
468 576 799
267 682 15
807 845 653
566 540 413
849 105 334
500 351 855
407 592 263
23 323 365
579 30 267
339 393 180
357 453 827
847 269 511
407 322 360
407 563 31
417 779 824
257 600 62
812 327 907
248 830 976
362 754 551
35 538 543
756 747 476
676 198 319
832 46 792
793 188 775
527 348 911
674 292 637
321 804 354
15 178 775
700 812 695
711 456 245
650 131 995
816 202 788
148 170 670
53 219 730
21 775 112
351 7 860
547 31 999
473 226 94
268 42 495
554 1 519
250 712 965
715 42 768
642 829 187
746 716 87
137 393 976
184 348 81
617 794 841
731 295 501
486 551 250
185 56 273
458 60 718
249 802 908
155 253 478
244 459 651
83 120 649
680 567 565
694 823 478
803 265 290
625 626 658
310 591 425
531 710 893
218 461 280
688 820 325
569 361 197
632 358 996
303 93 111
348 675 776
